id,name,tax_payer_company/id,tax_payer_partner/id,withholding_calc_id/id,withholding_id/id,withholding_cate_product/id
R88,RETENCION 10% Renta,l10n_ec_par.tax_id_type_02,l10n_ec_par.tax_id_type_04,withholding_odoo.w14,withholding_odoo.4,withholding_odoo.category_3
R89,RETENCION 10% Renta,l10n_ec_par.tax_id_type_03,l10n_ec_par.tax_id_type_01,withholding_odoo.w14,withholding_odoo.4,withholding_odoo.category_3
R90,RETENCION 10% Renta,l10n_ec_par.tax_id_type_03,l10n_ec_par.tax_id_type_02,withholding_odoo.w14,withholding_odoo.4,withholding_odoo.category_3
R91,RETENCION 10% Renta,l10n_ec_par.tax_id_type_03,l10n_ec_par.tax_id_type_03,withholding_odoo.w14,withholding_odoo.4,withholding_odoo.category_3
R92,RETENCION 10% Renta,l10n_ec_par.tax_id_type_03,l10n_ec_par.tax_id_type_04,withholding_odoo.w14,withholding_odoo.4,withholding_odoo.category_3
R93,RETENCION 1.75% Renta Compra 309,l10n_ec_par.tax_id_type_04,l10n_ec_par.tax_id_type_01,withholding_odoo.w15,withholding_odoo.4,withholding_odoo.category_4
R94,RETENCION 1.75% Renta Compra 309,l10n_ec_par.tax_id_type_04,l10n_ec_par.tax_id_type_02,withholding_odoo.w15,withholding_odoo.4,withholding_odoo.category_4
R95,RETENCION 1.75% Renta Compra 309,l10n_ec_par.tax_id_type_04,l10n_ec_par.tax_id_type_03,withholding_odoo.w15,withholding_odoo.4,withholding_odoo.category_4
R96,RETENCION 1.75% Renta Compra 309,l10n_ec_par.tax_id_type_04,l10n_ec_par.tax_id_type_04,withholding_odoo.w15,withholding_odoo.4,withholding_odoo.category_4
R97,RETENCION 1.75% Renta Compra 309,l10n_ec_par.tax_id_type_01,l10n_ec_par.tax_id_type_01,withholding_odoo.w15,withholding_odoo.4,withholding_odoo.category_4
R98,RETENCION 1.75% Renta Compra 309,l10n_ec_par.tax_id_type_01,l10n_ec_par.tax_id_type_02,withholding_odoo.w15,withholding_odoo.4,withholding_odoo.category_4
R99,RETENCION 1.75% Renta Compra 309,l10n_ec_par.tax_id_type_01,l10n_ec_par.tax_id_type_03,withholding_odoo.w15,withholding_odoo.4,withholding_odoo.category_4
R100,RETENCION 1.75% Renta Compra 309,l10n_ec_par.tax_id_type_01,l10n_ec_par.tax_id_type_04,withholding_odoo.w15,withholding_odoo.4,withholding_odoo.category_4
R101,RETENCION 1.75% Renta Compra 309,l10n_ec_par.tax_id_type_02,l10n_ec_par.tax_id_type_01,withholding_odoo.w15,withholding_odoo.4,withholding_odoo.category_4
R102,RETENCION 1.75% Renta Compra 309,l10n_ec_par.tax_id_type_02,l10n_ec_par.tax_id_type_02,withholding_odoo.w15,withholding_odoo.4,withholding_odoo.category_4
R103,RETENCION 1.75% Renta Compra 309,l10n_ec_par.tax_id_type_02,l10n_ec_par.tax_id_type_03,withholding_odoo.w15,withholding_odoo.4,withholding_odoo.category_4
R104,RETENCION 1.75% Renta Compra 309,l10n_ec_par.tax_id_type_02,l10n_ec_par.tax_id_type_04,withholding_odoo.w15,withholding_odoo.4,withholding_odoo.category_4
R105,RETENCION 1.75% Renta Compra 309,l10n_ec_par.tax_id_type_03,l10n_ec_par.tax_id_type_01,withholding_odoo.w15,withholding_odoo.4,withholding_odoo.category_4
R106,RETENCION 1.75% Renta Compra 309,l10n_ec_par.tax_id_type_03,l10n_ec_par.tax_id_type_02,withholding_odoo.w15,withholding_odoo.4,withholding_odoo.category_4
R107,RETENCION 1.75% Renta Compra 309,l10n_ec_par.tax_id_type_03,l10n_ec_par.tax_id_type_03,withholding_odoo.w15,withholding_odoo.4,withholding_odoo.category_4
R108,RETENCION 1.75% Renta Compra 309,l10n_ec_par.tax_id_type_03,l10n_ec_par.tax_id_type_04,withholding_odoo.w15,withholding_odoo.4,withholding_odoo.category_4
R109,RETENCION 1% Renta Compra 310,l10n_ec_par.tax_id_type_04,l10n_ec_par.tax_id_type_01,withholding_odoo.w16,withholding_odoo.4,withholding_odoo.category_5
R110,RETENCION 1% Renta Compra 310,l10n_ec_par.tax_id_type_04,l10n_ec_par.tax_id_type_02,withholding_odoo.w16,withholding_odoo.4,withholding_odoo.category_5
R111,RETENCION 1% Renta Compra 310,l10n_ec_par.tax_id_type_04,l10n_ec_par.tax_id_type_03,withholding_odoo.w16,withholding_odoo.4,withholding_odoo.category_5
R112,RETENCION 1% Renta Compra 310,l10n_ec_par.tax_id_type_04,l10n_ec_par.tax_id_type_04,withholding_odoo.w16,withholding_odoo.4,withholding_odoo.category_5
R113,RETENCION 1% Renta Compra 310,l10n_ec_par.tax_id_type_02,l10n_ec_par.tax_id_type_01,withholding_odoo.w16,withholding_odoo.4,withholding_odoo.category_5
R114,RETENCION 1% Renta Compra 310,l10n_ec_par.tax_id_type_02,l10n_ec_par.tax_id_type_02,withholding_odoo.w16,withholding_odoo.4,withholding_odoo.category_5
R115,RETENCION 1% Renta Compra 310,l10n_ec_par.tax_id_type_02,l10n_ec_par.tax_id_type_03,withholding_odoo.w16,withholding_odoo.4,withholding_odoo.category_5
R116,RETENCION 1% Renta Compra 310,l10n_ec_par.tax_id_type_02,l10n_ec_par.tax_id_type_04,withholding_odoo.w16,withholding_odoo.4,withholding_odoo.category_5
R117,RETENCION 1% Renta Compra 310,l10n_ec_par.tax_id_type_03,l10n_ec_par.tax_id_type_01,withholding_odoo.w16,withholding_odoo.4,withholding_odoo.category_5
R118,RETENCION 1% Renta Compra 310,l10n_ec_par.tax_id_type_03,l10n_ec_par.tax_id_type_02,withholding_odoo.w16,withholding_odoo.4,withholding_odoo.category_5
R119,RETENCION 1% Renta Compra 310,l10n_ec_par.tax_id_type_03,l10n_ec_par.tax_id_type_03,withholding_odoo.w16,withholding_odoo.4,withholding_odoo.category_5
R120,RETENCION 1% Renta Compra 310,l10n_ec_par.tax_id_type_03,l10n_ec_par.tax_id_type_04,withholding_odoo.w16,withholding_odoo.4,withholding_odoo.category_5
R121,RETENCION 1% Renta Compra 310,l10n_ec_par.tax_id_type_01,l10n_ec_par.tax_id_type_01,withholding_odoo.w16,withholding_odoo.4,withholding_odoo.category_5
R122,RETENCION 1% Renta Compra 310,l10n_ec_par.tax_id_type_01,l10n_ec_par.tax_id_type_02,withholding_odoo.w16,withholding_odoo.4,withholding_odoo.category_5
R123,RETENCION 1% Renta Compra 310,l10n_ec_par.tax_id_type_01,l10n_ec_par.tax_id_type_03,withholding_odoo.w16,withholding_odoo.4,withholding_odoo.category_5
R124,RETENCION 1% Renta Compra 310,l10n_ec_par.tax_id_type_01,l10n_ec_par.tax_id_type_04,withholding_odoo.w16,withholding_odoo.4,withholding_odoo.category_5
R125,RETENCION 1.75% Renta Compra 312,l10n_ec_par.tax_id_type_04,l10n_ec_par.tax_id_type_01,withholding_odoo.w17,withholding_odoo.4,withholding_odoo.category_6
R126,RETENCION 1.75% Renta Compra 312,l10n_ec_par.tax_id_type_04,l10n_ec_par.tax_id_type_02,withholding_odoo.w17,withholding_odoo.4,withholding_odoo.category_6
R127,RETENCION 1.75% Renta Compra 312,l10n_ec_par.tax_id_type_04,l10n_ec_par.tax_id_type_03,withholding_odoo.w17,withholding_odoo.4,withholding_odoo.category_6
